L B 0.0928798
A C 0.1393197
A C 0.1857596
A C 0.2321995
A C 0.2786395
A C 0.3250794
A C 0.3715193
A C 0.4179592
A C 0.4643991
A C 0.5108390
A C 0.5572789
A C 0.6037188
A C 0.6501587
A C 0.6965986
A C 0.7430385
A C 0.7894785
A C 0.8359184
A C 0.8823583
A C 0.9287982
A C 0.9752381
A C 1.0216780
A C 1.0681179
A C 1.1145578
A C 1.1609977
A C 1.2074376
A C 1.2538776
A C 1.3003175
A C 1.3467574
A C 1.3931973
A C 1.4396372
A C 1.4860771
A C 1.5325170
A C 1.5789569
A C 1.6253968
A C 1.6718367
A C 1.7182766
A C 1.7647166
A C 1.8111565
A C 1.8575964
A C 1.9040363
A C 1.9504762
A C 1.9969161
A C 2.0433560
A C 2.0897959
A C 2.1362358
A C 2.1826757
A C 2.2291156
A C 2.2755556
A C 2.3219955
A C 2.3684354
A C 2.4148753
A C 2.4613152
A C 2.5077551
A C 2.5541950
A C 2.6006349
A C 2.6470748
A C 2.6935147
A C 2.7399546
A C 2.7863946
E E 2.8328345
E E 2.8792744
E E 2.9257143
E E 2.9721542
E E 3.0185941
E E 3.0650340
E E 3.1114739
E E 3.1579138
E E 3.2043537
E E 3.2507937
E E 3.2972336
E E 3.3436735
E E 3.3901134
E E 3.4365533
E E 3.4829932
E E 3.5294331
E E 3.5758730
E E 3.6223129
E E 3.6687528
J A 3.7151927
J A 3.7616327
J A 3.8080726
J A 3.8545125
J A 3.9009524
J A 3.9473923
J A 3.9938322
J A 4.0402721
J A 4.0867120
J A 4.1331519
J A 4.1795918
J A 4.2260317
J A 4.2724717
J A 4.3189116
J A 4.3653515
J A 4.4117914
J A 4.4582313
J A 4.5046712
J A 4.5511111
J A 4.5975510
J A 4.6439909
J A 4.6904308
J A 4.7368707
J A 4.7833107
J A 4.8297506
J A 4.8761905
J A 4.9226304
J A 4.9690703
J A 5.0155102
J A 5.0619501
J A 5.1083900
J A 5.1548299
J A 5.2012698
J A 5.2477098
J A 5.2941497
J A 5.3405896
J A 5.3870295
J A 5.4334694
J A 5.4799093
J A 5.5263492
A C 5.5727891
A C 5.6192290
A C 5.6656689
A C 5.7121088
A C 5.7585488
A C 5.8049887
A C 5.8514286
A C 5.8978685
A C 5.9443084
A C 5.9907483
A C 6.0371882
A C 6.0836281
A C 6.1300680
A C 6.1765079
A C 6.2229478
A C 6.2693878
A C 6.3158277
A C 6.3622676
A C 6.4087075
A C 6.4551474
A C 6.5015873
A C 6.5480272
A C 6.5944671
A C 6.6409070
A C 6.6873469
A C 6.7337868
A C 6.7802268
A C 6.8266667
A C 6.8731066
A C 6.9195465
A C 6.9659864
A C 7.0124263
A C 7.0588662
A C 7.1053061
A C 7.1517460
A C 7.1981859
A C 7.2446259
A C 7.2910658
J A 7.3375057
J A 7.3839456
J A 7.4303855
J A 7.4768254
J A 7.5232653
J A 7.5697052
J A 7.6161451
J A 7.6625850
J A 7.7090249
J A 7.7554649
J A 7.8019048
J A 7.8483447
J A 7.8947846
J A 7.9412245
J A 7.9876644
J A 8.0341043
J A 8.0805442
J A 8.1269841
J A 8.1734240
J A 8.2198639
J A 8.2663039
J A 8.3127438
J A 8.3591837
J A 8.4056236
J A 8.4520635
J A 8.4985034
J A 8.5449433
J A 8.5913832
J A 8.6378231
J A 8.6842630
J A 8.7307029
J A 8.7771429
J A 8.8235828
J A 8.8700227
J A 8.9164626
J A 8.9629025
J A 9.0093424
J A 9.0557823
J A 9.1022222
J A 9.1486621
J A 9.1951020
J A 9.2415420
J A 9.2879819
J A 9.3344218
J A 9.3808617
J A 9.4273016
J A 9.4737415
J A 9.5201814
J A 9.5666213
J A 9.6130612
J A 9.6595011
J A 9.7059410
J A 9.7523810
J A 9.7988209
J A 9.8452608
J A 9.8917007
J A 9.9381406
J A 9.9845805
J A 10.0310204
J A 10.0774603
J A 10.1239002
J A 10.1703401
J A 10.2167800
J A 10.2632200
J A 10.3096599
J A 10.3560998
J A 10.4025397
J A 10.4489796
J A 10.4954195
J A 10.5418594
J A 10.5882993
J A 10.6347392
J A 10.6811791
J A 10.7276190
J A 10.7740590
J A 10.8204989
J A 10.8669388
J A 10.9133787
J A 10.9598186
J A 11.0062585
J A 11.0526984
J A 11.0991383
J A 11.1455782
J A 11.1920181
J A 11.2384580
J A 11.2848980
J A 11.3313379
J A 11.3777778
J A 11.4242177
J A 11.4706576
J A 11.5170975
J A 11.5635374
J A 11.6099773
J A 11.6564172
J A 11.7028571
J A 11.7492971
J A 11.7957370
J A 11.8421769
J A 11.8886168
J A 11.9350567
J A 11.9814966
J A 12.0279365
J A 12.0743764
J A 12.1208163
J A 12.1672562
J A 12.2136961
J A 12.2601361
J A 12.3065760
J A 12.3530159
J A 12.3994558
J A 12.4458957
J A 12.4923356
J A 12.5387755
J A 12.5852154
J A 12.6316553
J A 12.6780952
J A 12.7245351
J A 12.7709751
J A 12.8174150
J A 12.8638549
J A 12.9102948
J A 12.9567347
J A 13.0031746
J A 13.0496145
J A 13.0960544
J A 13.1424943
J A 13.1889342
J A 13.2353741
J A 13.2818141
J A 13.3282540
J A 13.3746939
J A 13.4211338
J A 13.4675737
J A 13.5140136
J A 13.5604535
J A 13.6068934
J A 13.6533333
J A 13.6997732
J A 13.7462132
J A 13.7926531
A C 13.8390930
A C 13.8855329
A C 13.9319728
A C 13.9784127
A C 14.0248526
A C 14.0712925
A C 14.1177324
A C 14.1641723
A C 14.2106122
A C 14.2570522
A C 14.3034921
A C 14.3499320
A C 14.3963719
A C 14.4428118
A C 14.4892517
A C 14.5356916
A C 14.5821315
A C 14.6285714
A C 14.6750113
A C 14.7214512
A C 14.7678912
A C 14.8143311
A C 14.8607710
A C 14.9072109
A C 14.9536508
A C 15.0000907
A C 15.0465306
A C 15.0929705
A C 15.1394104
A C 15.1858503
A C 15.2322902
A C 15.2787302
A C 15.3251701
A C 15.3716100
A C 15.4180499
A C 15.4644898
A C 15.5109297
